title,type,year,choreographer,aka,akac,label
Adon Olam,Circle,2010,Gadi Bitton,Adon Olam,Gadi Bitton,"Adon Olam (Circle, Gadi Bitton)"
Adoni HaShofet,Partner,2013,Tuvia Tishler,Adoni HaShofet,Tuvia Tishler,Adoni HaShofet
Adraba,Circle,2016,Eli Ronen,Adraba,Eli Ronen,Adraba
Af Achat Acheret,Partner,2014,Rafi Ziv,Af Achat Acheret,Rafi Ziv,Af Achat Acheret
Af Echad,Partner,2013,Tamir Shalev,Af Echad,Tamir Shalev,Af Echad
Af Pa'am Lo Omer,Partner,2008,Victor Gabbay,Af Paam Lo Omer,Victor Gabbay,Af Pa'am Lo Omer
Af Pa'am Lo Ted'i,Partner,2015,Ofer Alfasi,Af Paam Lo Tedi,Ofer Alfasi,Af Pa'am Lo Ted'i
Af Pam Lo Levad,Circle,2015,Oren Ashkenazi,Af Pam Lo Levad,Oren Ashkenazi,Af Pam Lo Levad
Af Tsemach,Circle,1900,Moshe Cafri,Af Tsemach,Moshe Cafri,Af Tsemach
Afa Al Kulam,Circle,2016,Shmulik Gov Ari,Afa Al Kulam,Shmulik Gov Ari,Afa Al Kulam
Afilu (cherev),Circle,2004,Connie L. Katz,Afilu cherev,Connie L Katz,Afilu (cherev)
Afilu She'ahavti,Partner,2018,Yaron Ben Simhon,Afilu Sheahavti,Yaron Ben Simhon,Afilu She'ahavti
Afilu Shesreifot,Partner,2006,Ran Hirsh,Afilu Shesreifot,Ran Hirsh,"Afilu Shesreifot (Partner, Ran Hirsh)"
Afilu Shesreifot,Partner,2006,Gadi Bitton,Afilu Shesreifot,Gadi Bitton,"Afilu Shesreifot (Partner, Gadi Bitton)"
Afim Alai,Circle,2014,Oren Bachar,Afim Alai,Oren Bachar,Afim Alai
Afrita,Partner,2013,Gadi Bitton,Afrita,Gadi Bitton,Afrita
Afrokai,Line,2016,Oren Ashkenazi; Lena Ashkenazi,Afrokai,Oren Ashkenazi Lena Ashkenazi,Afrokai
Agada,Partner,2007,Adi Atiram,Agada,Adi Atiram,Agada
Agada Avuda,Circle,2016,Itzik Lezebnic,Agada Avuda,Itzik Lezebnic,Agada Avuda
Agada Midbarit,Circle,1998,Nir Dor,Agada Midbarit,Nir Dor,Agada Midbarit
Agada Midbarit Ksuma,Circle,2006,Tuvia Tishler,Agada Midbarit Ksuma,Tuvia Tishler,Agada Midbarit Ksuma
Agadah Armenit,Circle,2002,Bonny Piha,Agadah Armenit,Bonny Piha,Agadah Armenit
Agadat Deshe,Partner,2002,Israel Shabtai,Agadat Deshe,Israel Shabtai,Agadat Deshe
Agadat Hamapuchit,Partner,1986,Marco Ben Shimon,Agadat Hamapuchit,Marco Ben Shimon,Agadat Hamapuchit
Agadat Hashemesh Vehayareach,Partner,2007,Elad Perl,Agadat Hashemesh Vehayareach,Elad Perl,Agadat Hashemesh Vehayareach
Agadat Hasultan,Circle,1995,Gadi Bitton,Agadat Hasultan,Gadi Bitton,Agadat Hasultan
Agadat Laila (Agada Leylit),Circle,2001,Oren Shmuel,Agadat Laila Agada Leylit,Oren Shmuel,Agadat Laila (Agada Leylit)
Agadat Shabazi,Circle,1999,Shmulik Gov Ari,Agadat Shabazi,Shmulik Gov Ari,Agadat Shabazi
Agadat Shalom Shabazi,Circle,2001,Israel Shiker,Agadat Shalom Shabazi,Israel Shiker,Agadat Shalom Shabazi
Agadelcha,Circle,1979,Israel Yakovee,Agadelcha,Israel Yakovee,Agadelcha
Agala Retuma Lesusim,Circle,2005,Avi Amsalam,Agala Retuma Lesusim,Avi Amsalam,Agala Retuma Lesusim
Agan Hayam Hatichon,Circle,1985,Ira Weisburd,Agan Hayam Hatichon,Ira Weisburd,Agan Hayam Hatichon
Agilei Damar,Partner,1995,Shmulik Gov Ari,Agilei Damar,Shmulik Gov Ari,Agilei Damar
Agir Halay,Circle,1999,Ahmet Luleci,Agir Halay,Ahmet Luleci,Agir Halay
Ahalan Vesahalan,Circle,2015,Shmulik Gov Ari,Ahalan Vesahalan,Shmulik Gov Ari,Ahalan Vesahalan (Circle)
Ahalan Vesahalan,Line;Kids,2015,Levi Bargil,Ahalan Vesahalan,Levi Bargil,Ahalan Vesahalan (Line;Kids)
Ahalel Lecha El,Circle,2009,Marco Ben Shimon,Ahalel Lecha El,Marco Ben Shimon,Ahalel Lecha El
Ahava,Partner,1982,Moshe Eskayo,Ahava,Moshe Eskayo,Ahava
Ahava (Eifo At Ahavati),Partner,1998,Gadi Bitton,Ahava Eifo At Ahavati,Gadi Bitton,Ahava (Eifo At Ahavati)
Ahava (Ha'ahava Einena Gara Kan Yoter),Partner,1993,Naftaly Kadosh,Ahava Haahava Einena Gara Kan Yoter,Naftaly Kadosh,Ahava (Ha'ahava Einena Gara Kan Yoter)
Ahava Acheret,Circle,2005,Levi Bargil,Ahava Acheret,Levi Bargil,Ahava Acheret
Ahava Asura (Benativ Meurpal),Partner,1990,Naftaly Kadosh,Ahava Asura Benativ Meurpal,Naftaly Kadosh,Ahava Asura (Benativ Meurpal)
Ahava Asura-Wh.Chair,PartnerW,1990,Naftaly Kadosh,Ahava AsuraWhChair,Naftaly Kadosh,Ahava Asura-Wh.Chair
Ahava Atika,Partner,1978,Eliyahu Gamliel,Ahava Atika,Eliyahu Gamliel,Ahava Atika
Ahava Aza,Circle,1976,Shoshana Dudai,Ahava Aza,Shoshana Dudai,Ahava Aza
Ahava Bachoresh,Circle,1996,Moshe Telem,Ahava Bachoresh,Moshe Telem,Ahava Bachoresh
Ahava Bageshem (Hageshem),Partner,1996,Avner Naim,Ahava Bageshem Hageshem,Avner Naim,Ahava Bageshem (Hageshem)
Ahava Bamidbar,Partner,2004,Rafi Ziv,Ahava Bamidbar,Rafi Ziv,Ahava Bamidbar
Ahava Bat Esrim,Circle,2005,Rafi Ziv,Ahava Bat Esrim,Rafi Ziv,Ahava Bat Esrim (Circle)
Ahava Bat Esrim,Partner,2009,Shlomo Maman,Ahava Bat Esrim,Shlomo Maman,Ahava Bat Esrim (Partner)
Ahava Bechat,Circle,2010,Chayim Ochayon; Shirli Omer,Ahava Bechat,Chayim Ochayon Shirli Omer,Ahava Bechat
Ahava Bechol Safa,Circle,2005,Ira Weisburd,Ahava Bechol Safa,Ira Weisburd,Ahava Bechol Safa
Ahava Be'eynaich,Partner,2004,Oren Shmuel,Ahava Beeynaich,Oren Shmuel,Ahava Be'eynaich
Ahava Bekachol,Partner,1982,Itzik Appleboim,Ahava Bekachol,Itzik Appleboim,Ahava Bekachol
Ahava Bermazim,Partner,2010,Yom Tov Ochayon,Ahava Bermazim,Yom Tov Ochayon,Ahava Bermazim
Ahava Besof Haka'its,Partner,2005,Moshe Tawily,Ahava Besof Hakaits,Moshe Tawily,Ahava Besof Haka'its
Ahava Betochi,Partner,2009,Yoram Sasson,Ahava Betochi,Yoram Sasson,Ahava Betochi
Ahava Betucha,Circle,1991,Shmulik Gov Ari,Ahava Betucha,Shmulik Gov Ari,Ahava Betucha
Ahava Bishnayim (Bishnayim),Partner,1999,Avner Naim,Ahava Bishnayim Bishnayim,Avner Naim,Ahava Bishnayim (Bishnayim)
Ahava Boeret,Partner,1997,Israel Shiker,Ahava Boeret,Israel Shiker,Ahava Boeret
Ahava Ein Sofit,Partner,2011,Nourit Grinfeld,Ahava Ein Sofit,Nourit Grinfeld,Ahava Ein Sofit
Ahava Elohit (Ha'ahava Hi Elohit),Partner,2000,Gadi Bitton,Ahava Elohit Haahava Hi Elohit,Gadi Bitton,Ahava Elohit (Ha'ahava Hi Elohit)
Ahava Emet Pshuta,Partner,2017,Ilai Szpiezak,Ahava Emet Pshuta,Ilai Szpiezak,Ahava Emet Pshuta
Ahava Gdolah,Partner,2004,Rafi Ziv,Ahava Gdolah,Rafi Ziv,Ahava Gdolah
Ahava Hamon,Circle,2010,Nurit Melamed,Ahava Hamon,Nurit Melamed,Ahava Hamon
Ahava Hi Perach (Ha'ahava Hi Perach),Partner,1982,Eli Ronen,Ahava Hi Perach Haahava Hi Perach,Eli Ronen,Ahava Hi Perach (Ha'ahava Hi Perach)
Ahava Iveret,Partner,1995,Victor Gabbay,Ahava Iveret,Victor Gabbay,"Ahava Iveret (Partner, Victor Gabbay)"
Ahava Iveret,Partner,1996,Moshany A. Shemesh,Ahava Iveret,Moshany A Shemesh,"Ahava Iveret (Partner, Moshany A. Shemesh)"
Ahava Kazo,Partner,2017,Sagi Azran; Sharon Elkaslassy,Ahava Kazo,Sagi Azran Sharon Elkaslassy,Ahava Kazo
Ahava Kena,Partner,2001,Israel Shiker,Ahava Kena,Israel Shiker,Ahava Kena
