title,type,year,choreographer,aka,akac,label
Ahava Ktsara,Partner,1992,Naftaly Kadosh,Ahava Ktsara,Naftaly Kadosh,"Ahava Ktsara (Partner, Naftaly Kadosh)"
Ahava Ktsara,Partner,1992,Gadi Bitton,Ahava Ktsara,Gadi Bitton,"Ahava Ktsara (Partner, Gadi Bitton)"
Ahava Ktsara-Wh.Chair,PartnerW,1992,Gadi Bitton,Ahava KtsaraWhChair,Gadi Bitton,Ahava Ktsara-Wh.Chair
Ahava Lanetsach,Partner,1996,Avner Naim,Ahava Lanetsach,Avner Naim,Ahava Lanetsach
Ahava Lanetsach (Ve'at Yafa Nishart Yafa),Partner,2001,Avi Perez,Ahava Lanetsach Veat Yafa Nishart Yafa,Avi Perez,Ahava Lanetsach (Ve'at Yafa Nishart Yafa)
Ahava Lelo Gvulot,Partner,2017,Ilai Szpiezak,Ahava Lelo Gvulot,Ilai Szpiezak,Ahava Lelo Gvulot
Ahava Lelo Milim,Partner,1994,Victor Gabbay,Ahava Lelo Milim,Victor Gabbay,Ahava Lelo Milim
Ahava Lemerchakim Arukim,Partner,2015,Nourit Grinfeld,Ahava Lemerchakim Arukim,Nourit Grinfeld,Ahava Lemerchakim Arukim
Ahava Leylit,Partner,1984,Shlomo Maman,Ahava Leylit,Shlomo Maman,Ahava Leylit
Ahava Me'ever Lapina,Partner,2004,Shmulik Gov Ari,Ahava Meever Lapina,Shmulik Gov Ari,Ahava Me'ever Lapina
Ahava Mesanveret,Partner,2006,Avi Perez,Ahava Mesanveret,Avi Perez,Ahava Mesanveret
Ahava Meshuga'at (Hazaya),Circle,2008,Avi Levy,Ahava Meshugaat Hazaya,Avi Levy,Ahava Meshuga'at (Hazaya)
Ahava Mesovevet Hakol,Partner,2017,Tamir Shalev,Ahava Mesovevet Hakol,Tamir Shalev,Ahava Mesovevet Hakol
Ahava Mimabat Rishon,Circle,1997,Naftaly Kadosh,Ahava Mimabat Rishon,Naftaly Kadosh,Ahava Mimabat Rishon
Ahava Nishberet,Partner,2011,Yossi Nakav,Ahava Nishberet,Yossi Nakav,Ahava Nishberet
Ahava Noshana,Partner,1986,Moshe Eskayo,Ahava Noshana,Moshe Eskayo,Ahava Noshana
Ahava Parsit,,2011,Yankale Ziv,Ahava Parsit,Yankale Ziv,Ahava Parsit
Ahava Pshuta - Wh.Chair,PartnerW,1983,Roni Siman Tov,Ahava Pshuta  WhChair,Roni Siman Tov,Ahava Pshuta - Wh.Chair
Ahava Pshuta (Yesh Li Ahava),Partner,1983,Roni Siman Tov,Ahava Pshuta Yesh Li Ahava,Roni Siman Tov,Ahava Pshuta (Yesh Li Ahava)
Ahava Rechoka,Partner,1992,Shmulik Gov Ari,Ahava Rechoka,Shmulik Gov Ari,Ahava Rechoka
Ahava Rishona,Partner,1995,Amir Katz,Ahava Rishona,Amir Katz,Ahava Rishona
Ahava Rishona (Kerem Or),Partner,1996,Yaron Malihi; Dudu Barzilay,Ahava Rishona Kerem Or,Yaron Malihi Dudu Barzilay,Ahava Rishona (Kerem Or)
Ahava Shel Pa'am Bechaim,Partner,2014,Elad Shtamer,Ahava Shel Paam Bechaim,Elad Shtamer,Ahava Shel Pa'am Bechaim
Ahava Shelanu,Partner,1987,Chayim Shiryon,Ahava Shelanu,Chayim Shiryon,Ahava Shelanu
Ahava Sheli,Partner,1999,Raanan Mor,Ahava Sheli,Raanan Mor,Ahava Sheli
Ahava Shelo Nigmeret,Partner,2011,Mali Lipson; Moshe,Ahava Shelo Nigmeret,Mali Lipson Moshe,Ahava Shelo Nigmeret
Ahava Tamid Nisheret,Partner,2000,Avi Perez,Ahava Tamid Nisheret,Avi Perez,Ahava Tamid Nisheret
Ahava Tenatseach,Circle,2008,Kobi Michaeli,Ahava Tenatseach,Kobi Michaeli,Ahava Tenatseach
Ahava Tseira (Chazara Lamutav),Partner,1979,Shlomo Maman,Ahava Tseira Chazara Lamutav,Shlomo Maman,Ahava Tseira (Chazara Lamutav)
Ahava Yam Tichonit (Laila Yam Yichoni),Partner,1990,Naftaly Kadosh,Ahava Yam Tichonit Laila Yam Yichoni,Naftaly Kadosh,Ahava Yam Tichonit (Laila Yam Yichoni)
Ahava Yomyomit,Circle,1993,Robin Starr,Ahava Yomyomit,Robin Starr,Ahava Yomyomit
Ahava Zmanit,Circle,2005,Yaron Malihi,Ahava Zmanit,Yaron Malihi,Ahava Zmanit (Circle)
Ahava Zmanit,,2005,Moshiko Halevy,Ahava Zmanit,Moshiko Halevy,Ahava Zmanit (0)
Ahava Zo Ahava,Circle,2017,Sagi Azran,Ahava Zo Ahava,Sagi Azran,Ahava Zo Ahava
Ahava Zo Hapoenta,Partner,2019,Sagi Azran,Ahava Zo Hapoenta,Sagi Azran,Ahava Zo Hapoenta
Ahavah Atsumah (Amour est Blue),Circle,2013,Ya'ir Harel,Ahavah Atsumah Amour est Blue,Yair Harel,Ahavah Atsumah (Amour est Blue)
Ahavah Efsharit Sheli (Le'atsmi Sheli),Circle,1992,Josee Vincelette,Ahavah Efsharit Sheli Leatsmi Sheli,Josee Vincelette,Ahavah Efsharit Sheli (Le'atsmi Sheli)
Ahavah Midor Ledor,Circle,2014,Dudu Barzilay,Ahavah Midor Ledor,Dudu Barzilay,Ahavah Midor Ledor
Ahavat Aviv,Circle,2019,Moshe Tawily,Ahavat Aviv,Moshe Tawily,Ahavat Aviv
Ahavat Bat Teiman (Bat Teiman),Partner,1994,Eli Ronen,Ahavat Bat Teiman Bat Teiman,Eli Ronen,Ahavat Bat Teiman (Bat Teiman)
Ahavat Chayai (Nostalgia),Partner,2014,Sharon Elkaslassy,Ahavat Chayai Nostalgia,Sharon Elkaslassy,Ahavat Chayai (Nostalgia)
Ahavat Chayay,Circle,1983,Sefi Aviv,Ahavat Chayay,Sefi Aviv,Ahavat Chayay (Circle)
Ahavat Chayay,Partner,2007,Eli Segal,Ahavat Chayay,Eli Segal,Ahavat Chayay (Partner)
Ahavat Chinam,Circle,2000,Yaron Ben Simhon,Ahavat Chinam,Yaron Ben Simhon,Ahavat Chinam
Ahavat Emet,Partner,2011,Mishel Cohen; Gil,Ahavat Emet,Mishel Cohen Gil,Ahavat Emet
Ahavat Erev,Circle,2014, ,Ahavat Erev, ,Ahavat Erev (Circle)
Ahavat Erev,Partner,1991,Avner Naim,Ahavat Erev,Avner Naim,Ahavat Erev (Partner)
Ahavat Hachayalim (Shir Ahava Chayali),Circle,1983,Shmulik Gov Ari,Ahavat Hachayalim Shir Ahava Chayali,Shmulik Gov Ari,Ahavat Hachayalim (Shir Ahava Chayali)
Ahavat Hadassah,Circle,1953,Rivka Sturman,Ahavat Hadassah,Rivka Sturman,"Ahavat Hadassah (Circle, Rivka Sturman)"
Ahavat Hadassah,Circle,1973,Eliyahu Gamliel,Ahavat Hadassah,Eliyahu Gamliel,"Ahavat Hadassah (Circle, Eliyahu Gamliel)"
Ahavat Hagvarim,Partner,1992,Itzik Sa'ada,Ahavat Hagvarim,Itzik Saada,Ahavat Hagvarim
Ahavat Itamar (Ahavat Itamar Ben Avi),Circle,1991,Sefi Aviv,Ahavat Itamar Ahavat Itamar Ben Avi,Sefi Aviv,Ahavat Itamar (Ahavat Itamar Ben Avi)
Ahavat Kayits,Line,1996,Gideon Dan,Ahavat Kayits,Gideon Dan,Ahavat Kayits
Ahavat Ne'uray,Partner,2004,Shlomo Maman,Ahavat Neuray,Shlomo Maman,Ahavat Ne'uray
Ahavat Neurim,Partner,2011,Ami Ben Shushan,Ahavat Neurim,Ami Ben Shushan,Ahavat Neurim
Ahavat Poaley Habinyan,Circle,1987,Shlomo Maman,Ahavat Poaley Habinyan,Shlomo Maman,Ahavat Poaley Habinyan (Circle)
Ahavat Poaley Habinyan,Partner,1981,Mussa Ashkenazi et al,Ahavat Poaley Habinyan,Mussa Ashkenazi et al,Ahavat Poaley Habinyan (Partner)
Ahavat Ra'ayah,Circle,1983,Shlomo Maman,Ahavat Raayah,Shlomo Maman,Ahavat Ra'ayah
Ahavat Roeh,Partner,1995,Eli Ronen,Ahavat Roeh,Eli Ronen,Ahavat Roeh
Ahavat Shaday,Partner,1987,Israel Yakovee,Ahavat Shaday,Israel Yakovee,"Ahavat Shaday (Partner, Israel Yakovee)"
Ahavat Shaday,Partner,1994,Itzik Sa'ada,Ahavat Shaday,Itzik Saada,"Ahavat Shaday (Partner, Itzik Sa'ada)"
Ahavat Shamayim,Circle,2006,Avi Levy,Ahavat Shamayim,Avi Levy,Ahavat Shamayim
Ahavat Shlomo Et Shulamit,Partner,1974,Tzvi Fridhaber,Ahavat Shlomo Et Shulamit,Tzvi Fridhaber,Ahavat Shlomo Et Shulamit
Ahavat Tsion (Shiru Na Hameshorerim),Circle,1981,Yankale Levy,Ahavat Tsion Shiru Na Hameshorerim,Yankale Levy,Ahavat Tsion (Shiru Na Hameshorerim)
Ahavat Yaldut,Partner,2003,Avi Perez,Ahavat Yaldut,Avi Perez,Ahavat Yaldut
Ahavata Shel Theresa Dimon,Circle,1973,Shoshana Dudai,Ahavata Shel Theresa Dimon,Shoshana Dudai,Ahavata Shel Theresa Dimon
Ahavatcha,Partner,2000,Oren Shmuel,Ahavatcha,Oren Shmuel,Ahavatcha
Ahavateynu Hagdola,Partner,1987,Moshe Telem,Ahavateynu Hagdola,Moshe Telem,Ahavateynu Hagdola
Ahavati,Partner,2011,Shlomo Maman,Ahavati,Shlomo Maman,Ahavati
Ahavati Harishona,Partner,1990,Meir Shem Tov,Ahavati Harishona,Meir Shem Tov,Ahavati Harishona
Ahavati Shavuy,Circle,1900,Shlomo Maman,Ahavati Shavuy,Shlomo Maman,Ahavati Shavuy
Ahavnu,Partner,1998,Victor Gabbay,Ahavnu,Victor Gabbay,Ahavnu
Ahavot Lirkod,Partner,2000,Avi Amsalam,Ahavot Lirkod,Avi Amsalam,Ahavot Lirkod
Ahavti Et Yofyech,Circle,1998,Dudu Shitrit,Ahavti Et Yofyech,Dudu Shitrit,Ahavti Et Yofyech (Circle)
Ahavti Et Yofyech,Partner,1998,Moshe Telem,Ahavti Et Yofyech,Moshe Telem,Ahavti Et Yofyech (Partner)
Ahavti Otach,Partner,2000,Moti Ben Ya'akov,Ahavti Otach,Moti Ben Yaakov,Ahavti Otach
"Ahavtiha (Pitom Achshav, Pitom Hayom)",Partner,1985,Israel Shiker,Ahavtiha Pitom Achshav Pitom Hayom,Israel Shiker,"Ahavtiha (Pitom Achshav, Pitom Hayom) (Partner, Israel Shiker)"
"Ahavtiha (Pitom Achshav, Pitom Hayom)",Partner,1992,Moshany A. Shemesh,Ahavtiha Pitom Achshav Pitom Hayom,Moshany A Shemesh,"Ahavtiha (Pitom Achshav, Pitom Hayom) (Partner, Moshany A. Shemesh)"
Ahavuni,Partner,2003,Nissim Ben Ami,Ahavuni,Nissim Ben Ami,Ahavuni
Ahaya (Eheye),Circle,2000,Gadi Bitton,Ahaya Eheye,Gadi Bitton,Ahaya (Eheye)
Ahuv Besayeret Charuv (Yesh Li Ahuv Bes. Charuv),Partner,2002,Moti Ben Ya'akov,Ahuv Besayeret Charuv Yesh Li Ahuv Bes Charuv,Moti Ben Yaakov,Ahuv Besayeret Charuv (Yesh Li Ahuv Bes. Charuv)
Ahuv Chaiyai,p,2015,Yaron Elfasy,Ahuv Chaiyai,Yaron Elfasy,Ahuv Chaiyai
Ahuv Chayai,,2015,Yaron Elfasy,Ahuv Chayai,Yaron Elfasy,Ahuv Chayai
Ahuv Libi,Partner,1992,Shlomo Maman,Ahuv Libi,Shlomo Maman,Ahuv Libi
Ahuv Sheli (Habibi Ya Nour El Ain),Circle,2004,Oren Shmuel,Ahuv Sheli Habibi Ya Nour El Ain,Oren Shmuel,Ahuv Sheli (Habibi Ya Nour El Ain)
Ahuv Yakar,Partner,1997,Rafi Ziv,Ahuv Yakar,Rafi Ziv,Ahuv Yakar
Ahuva,Partner,2002,Yom Tov Ochayon,Ahuva,Yom Tov Ochayon,Ahuva
Ahuva Sheli,Circle,2015,Oren Ashkenazi,Ahuva Sheli,Oren Ashkenazi,Ahuva Sheli (Circle)
Ahuva Sheli,Partner,2015,Rafi Ziv,Ahuva Sheli,Rafi Ziv,"Ahuva Sheli (Partner, Rafi Ziv)"
Ahuva Sheli,Partner,2005,Dudu Barzilay,Ahuva Sheli,Dudu Barzilay,"Ahuva Sheli (Partner, Dudu Barzilay)"
Ahuva Sheli,Partner,2011,Victor Gabbay,Ahuva Sheli,Victor Gabbay,"Ahuva Sheli (Partner, Victor Gabbay)"
Ahuvat Hamatador,Partner,1990,Dede Luski,Ahuvat Hamatador,Dede Luski,Ahuvat Hamatador
Ahuvat Levavi,Circle,1989,Shmulik Gov Ari,Ahuvat Levavi,Shmulik Gov Ari,Ahuvat Levavi (Circle)
Ahuvat Levavi,Partner,1989,Ya'ir Menashe,Ahuvat Levavi,Yair Menashe,"Ahuvat Levavi (Partner, Ya'ir Menashe)"
Ahuvat Levavi,Partner,1900,Chayim Shiryon,Ahuvat Levavi,Chayim Shiryon,"Ahuvat Levavi (Partner, Chayim Shiryon)"
Ahuvati,Partner,2007,Victor Gabbay,Ahuvati,Victor Gabbay,Ahuvati
Ahuvati Bat Chamishim,Circle,1998,Shmulik Gov Ari,Ahuvati Bat Chamishim,Shmulik Gov Ari,Ahuvati Bat Chamishim
Ahuvati Yael,Partner,2018,Israel Shiker,Ahuvati Yael,Israel Shiker,Ahuvati Yael
Ahuvi,Circle,2005,Shmulik Gov Ari,Ahuvi,Shmulik Gov Ari,Ahuvi
Ahuvi Chazor (Hilauyi Veyaheli),Partner,1980,Yankale Levy,Ahuvi Chazor Hilauyi Veyaheli,Yankale Levy,Ahuvi Chazor (Hilauyi Veyaheli)
Ai Kerida Miya,Partner,2016,Shlomo Maman,Ai Kerida Miya,Shlomo Maman,Ai Kerida Miya
Ain't Nobody,Line,2019,Oren Bachar,Aint Nobody,Oren Bachar,Ain't Nobody
Akeida,Circle,2001,Gadi Bitton,Akeida,Gadi Bitton,Akeida
Akevot Bachol,Circle,2011,Nurit Melamed,Akevot Bachol,Nurit Melamed,Akevot Bachol
Akordion Yashan,Circle,2003,Avi Perez,Akordion Yashan,Avi Perez,Akordion Yashan
Akut Sheri (Ecute Cheri),Partner,2015,Ohad Atia,Akut Sheri Ecute Cheri,Ohad Atia,Akut Sheri (Ecute Cheri)
Al Andalus,Line,2011,Lena Ashkenazi,Al Andalus,Lena Ashkenazi,Al Andalus
Al Anfei Shita,Partner,1979,Eli Ronen,Al Anfei Shita,Eli Ronen,"Al Anfei Shita (Partner, Eli Ronen)"
Al Anfei Shita,Partner,1985,Marco Ben Shimon,Al Anfei Shita,Marco Ben Shimon,"Al Anfei Shita (Partner, Marco Ben Shimon)"
Al Be'er,,1992,Yaakov Dekel,Al Beer,Yaakov Dekel,Al Be'er
Al Chevel Dak,Partner,2011,Yaniv Zairi,Al Chevel Dak,Yaniv Zairi,Al Chevel Dak
Al Em Haderech,Circle,2005,Rachel Waitzman,Al Em Haderech,Rachel Waitzman,Al Em Haderech
Al Fuhara,Partner,1987,Shmulik Gov Ari,Al Fuhara,Shmulik Gov Ari,Al Fuhara
Al Gemali,Circle,1970,Moshe Eskayo,Al Gemali,Moshe Eskayo,Al Gemali (Circle)
Al Gemali,Partner,1958,Tzvi Fridhaber,Al Gemali,Tzvi Fridhaber,Al Gemali (Partner)
Al Gvul Hayam Ha'acharon,Circle,1996,Victor Gabbay,Al Gvul Hayam Haacharon,Victor Gabbay,Al Gvul Hayam Ha'acharon
Al Hachof Be Saloniki (Salonika),Partner,2005,Naftaly Kadosh,Al Hachof Be Saloniki Salonika,Naftaly Kadosh,Al Hachof Be Saloniki (Salonika)
Al Haderech (Shir Haderech),Circle,1986,Chayim Shiryon,Al Haderech Shir Haderech,Chayim Shiryon,"Al Haderech (Shir Haderech) (Circle, Chayim Shiryon)"
Al Haderech (Shir Haderech),Circle,1986,Sefi Aviv,Al Haderech Shir Haderech,Sefi Aviv,"Al Haderech (Shir Haderech) (Circle, Sefi Aviv)"
Al Haderech (Shir Haderech),Partner,1986,Avi Perez,Al Haderech Shir Haderech,Avi Perez,Al Haderech (Shir Haderech) (Partner)
Al Hadvash,Partner,1981,Shalom Amar,Al Hadvash,Shalom Amar,Al Hadvash (Partner)
Al Hadvash,,1992,Sefi Aviv,Al Hadvash,Sefi Aviv,"Al Hadvash (0, Sefi Aviv)"
Al Hadvash,,1992,Chaim Livneh,Al Hadvash,Chaim Livneh,"Al Hadvash (0, Chaim Livneh)"
Al Hadvash Ve'al Haokets,Circle,1974,Rivka Sturman,Al Hadvash Veal Haokets,Rivka Sturman,Al Hadvash Ve'al Haokets
Al Ha'ir Afot Yonim (Teivat Vezimra Nifredet),Partner,1984,Israel Shiker,Al Hair Afot Yonim Teivat Vezimra Nifredet,Israel Shiker,"Al Ha'ir Afot Yonim (Teivat Vezimra Nifredet) (Partner, Israel Shiker)"
Al Ha'ir Afot Yonim (Teivat Vezimra Nifredet),Partner,1983,Roni Siman Tov,Al Hair Afot Yonim Teivat Vezimra Nifredet,Roni Siman Tov,"Al Ha'ir Afot Yonim (Teivat Vezimra Nifredet) (Partner, Roni Siman Tov)"
Al Hamapa,Circle,2018,Sagi Azran,Al Hamapa,Sagi Azran,Al Hamapa
Al Hanisim,Circle,1982,Dani Dassa,Al Hanisim,Dani Dassa,Al Hanisim
Al Har Hamoriah,Circle,1991,Yossi Azulai,Al Har Hamoriah,Yossi Azulai,Al Har Hamoriah
Al Harim,Circle,1951,Rivka Sturman,Al Harim,Rivka Sturman,Al Harim (Circle)
Al Harim,,1977,Hadassah Badoch,Al Harim,Hadassah Badoch,Al Harim (0)
Al Hayam,Circle,1991,Shimshon Weinstein,Al Hayam,Shimshon Weinstein,Al Hayam
Al Kanfei Hakesef,Circle,1970,Motti Elfasy,Al Kanfei Hakesef,Motti Elfasy,Al Kanfei Hakesef
Al Kanfei Ruach,Circle,2017,Yaron Elfasy,Al Kanfei Ruach,Yaron Elfasy,Al Kanfei Ruach
Al Kapav Yavi,Circle,2002,Levi Bargil,Al Kapav Yavi,Levi Bargil,"Al Kapav Yavi (Circle, Levi Bargil)"
Al Kapav Yavi,Circle,2008,Shlomo Maman,Al Kapav Yavi,Shlomo Maman,"Al Kapav Yavi (Circle, Shlomo Maman)"
Al Kav Hazinuk,Partner,1997,Shmulik Gov Ari,Al Kav Hazinuk,Shmulik Gov Ari,Al Kav Hazinuk
Al Knaf Ha'ahava,Partner,1998,Naftaly Kadosh,Al Knaf Haahava,Naftaly Kadosh,Al Knaf Ha'ahava
Al Kol Eleh,Circle,1985,Shlomo Bachar,Al Kol Eleh,Shlomo Bachar,Al Kol Eleh
Al Ktsot Ha'etsbaot,Partner,2018,Shlomo Maman,Al Ktsot Haetsbaot,Shlomo Maman,Al Ktsot Ha'etsbaot
Al Lanu,Circle,2003,Moshiko Halevy,Al Lanu,Moshiko Halevy,Al Lanu
Al Levavi,Partner,1983,Moshiko Halevy,Al Levavi,Moshiko Halevy,Al Levavi
Al Na Telchi,Partner,2013,Gadi Bitton,Al Na Telchi,Gadi Bitton,Al Na Telchi
Al Na Telchi-Wh.Chair,PartnerW,2013,Gadi Bitton,Al Na TelchiWhChair,Gadi Bitton,Al Na Telchi-Wh.Chair
Al Na Tishal,Partner,1999,Avi Perez,Al Na Tishal,Avi Perez,Al Na Tishal
Al Na Tivki,Partner,2004,Israel Yakovee,Al Na Tivki,Israel Yakovee,Al Na Tivki
Al Na Tomar Li Shalom,Partner,1986,Ruth Motes,Al Na Tomar Li Shalom,Ruth Motes,Al Na Tomar Li Shalom
Al Neharot Bavel,Circle,2009,Ma'or Gabbay,Al Neharot Bavel,Maor Gabbay,Al Neharot Bavel
Al Nevakesh,Circle,1993,Israel Shabtai,Al Nevakesh,Israel Shabtai,"Al Nevakesh (Circle, Israel Shabtai)"
Al Nevakesh,Circle,1993,Yaron Elfasy,Al Nevakesh,Yaron Elfasy,"Al Nevakesh (Circle, Yaron Elfasy)"
Al Pi Tnuat Harakavot,Circle,2002,Yankale Ziv,Al Pi Tnuat Harakavot,Yankale Ziv,"Al Pi Tnuat Harakavot (Circle, Yankale Ziv)"
Al Pi Tnuat Harakavot,Circle,2005,Benny Levy,Al Pi Tnuat Harakavot,Benny Levy,"Al Pi Tnuat Harakavot (Circle, Benny Levy)"
Al Pisgat Haolam (Hop Hop),Partner,1992,Rafi Ziv,Al Pisgat Haolam Hop Hop,Rafi Ziv,Al Pisgat Haolam (Hop Hop)
Al Rosh Hahar,Circle,1993,Oren Halaly,Al Rosh Hahar,Oren Halaly,Al Rosh Hahar
Al Sadeh Veya'ar,Circle,1984,Yankale Levy,Al Sadeh Veyaar,Yankale Levy,Al Sadeh Veya'ar
Al Sadeinu (Shir Hasadeh),Circle,1971,Bentzi Tiram,Al Sadeinu Shir Hasadeh,Bentzi Tiram,Al Sadeinu (Shir Hasadeh)
Al Saf Beitech,Partner,2016,Itzik Ben Dahan,Al Saf Beitech,Itzik Ben Dahan,Al Saf Beitech
Al Saf Daltech,Partner,1992,Naftaly Kadosh,Al Saf Daltech,Naftaly Kadosh,"Al Saf Daltech (Partner, Naftaly Kadosh)"
Al Saf Daltech,Partner,1995,Avner Naim,Al Saf Daltech,Avner Naim,"Al Saf Daltech (Partner, Avner Naim)"
Al Saf Daltech - Wh.Chair,PartnerW,1995,Avner Naim,Al Saf Daltech  WhChair,Avner Naim,Al Saf Daltech - Wh.Chair
Al Salsalim,Circle,1998,Yaron Malihi,Al Salsalim,Yaron Malihi,Al Salsalim
Al Shemesh Veyam,,1998, ,Al Shemesh Veyam, ,Al Shemesh Veyam
Al Ta'avri Levad Yalda Barech.,Circle,1986,Israel Shiker,Al Taavri Levad Yalda Barech,Israel Shiker,Al Ta'avri Levad Yalda Barech.
Al Ta'azvi Oti,Partner,1997,Shlomo Maman,Al Taazvi Oti,Shlomo Maman,Al Ta'azvi Oti
Al Ta'azvi Yadayim,Circle,2020,Chagit Fuchs,Al Taazvi Yadayim,Chagit Fuchs,Al Ta'azvi Yadayim
Al Ta'azvini,Partner,2001,Amnon Amram,Al Taazvini,Amnon Amram,Al Ta'azvini
Al Tafriu Li Lirkod,Circle,2018,Sagi Azran,Al Tafriu Li Lirkod,Sagi Azran,Al Tafriu Li Lirkod
Al Tafsik,Partner,2010,Mali Lipson; Moshe,Al Tafsik,Mali Lipson Moshe,Al Tafsik
Al Ta'iri Et Hachalom,Partner,2001,Itzik Ben Dahan,Al Tairi Et Hachalom,Itzik Ben Dahan,Al Ta'iri Et Hachalom
Al Tashlicheini,Circle,1995,Shmulik Gov Ari,Al Tashlicheini,Shmulik Gov Ari,"Al Tashlicheini (Circle, Shmulik Gov Ari)"
Al Tashlicheini,Circle,1900,Benny Levy,Al Tashlicheini,Benny Levy,"Al Tashlicheini (Circle, Benny Levy)"
Al Te'acher Lavo,Circle,2012,Sagi Azran,Al Teacher Lavo,Sagi Azran,Al Te'acher Lavo
Al Tealmi,Partner,2009,Yankale Ziv,Al Tealmi,Yankale Ziv,Al Tealmi
Al Techabi Oti,Partner,2011,Shlomo Maman,Al Techabi Oti,Shlomo Maman,Al Techabi Oti
Al Tefached Lauf,Circle,2016,Nurit Melamed,Al Tefached Lauf,Nurit Melamed,Al Tefached Lauf
Al Telchi,Circle,1976,Yo'av Ashriel,Al Telchi,Yoav Ashriel,"Al Telchi (Circle, Yo'av Ashriel)"
Al Telchi,Circle,1900,Rivka Sturman,Al Telchi,Rivka Sturman,"Al Telchi (Circle, Rivka Sturman)"
Al Telchi Li,Circle,2016,Chen Shporen,Al Telchi Li,Chen Shporen,Al Telchi Li (Circle)
Al Telchi Li,Partner,2006,Rafi Ziv,Al Telchi Li,Rafi Ziv,Al Telchi Li (Partner)
Al Telchi Miriam,Circle,2013,Elad Shtamer,Al Telchi Miriam,Elad Shtamer,Al Telchi Miriam
Al Telchi Rahok Midai,Circle,2010,Nurit Melamed,Al Telchi Rahok Midai,Nurit Melamed,Al Telchi Rahok Midai
Al Temaher,Partner,2002,Israel Shiker,Al Temaher,Israel Shiker,Al Temaher
Al Teshage'i Oti,Circle,2009,Ofer Tzofi,Al Teshagei Oti,Ofer Tzofi,Al Teshage'i Oti
Al Teshateh Ba'ahava,Circle,1994,Israel Shiker,Al Teshateh Baahava,Israel Shiker,Al Teshateh Ba'ahava
Al Tevater (Eheye Lach Osher),Circle,2018,Dana Monet; Hadar Jibli,Al Tevater Eheye Lach Osher,Dana Monet Hadar Jibli,Al Tevater (Eheye Lach Osher)
Al Tevatri,Partner,1987,Chayim Shiryon,Al Tevatri,Chayim Shiryon,"Al Tevatri (Partner, Chayim Shiryon)"
Al Tevatri,Partner,1985,Yankale Levy,Al Tevatri,Yankale Levy,"Al Tevatri (Partner, Yankale Levy)"
Al Tevatri,Partner,1992,Moshe Telem,Al Tevatri,Moshe Telem,"Al Tevatri (Partner, Moshe Telem)"
Al Tevatri Alenu,Circle,2011,Adi Atiram,Al Tevatri Alenu,Adi Atiram,Al Tevatri Alenu
Al Tid'ag,Circle,2003,Gadi Bitton,Al Tidag,Gadi Bitton,Al Tid'ag (Circle)
Al Tid'ag,Partner,1996,Chayim Shiryon,Al Tidag,Chayim Shiryon,Al Tid'ag (Partner)
Al Tidagi Li Imma,Circle,2008,Mali Lipson; Moshe,Al Tidagi Li Imma,Mali Lipson Moshe,Al Tidagi Li Imma
Al Tig'u Ba'ahava,Partner,1991,Yehuda Emanuel,Al Tigu Baahava,Yehuda Emanuel,Al Tig'u Ba'ahava
Al Tihiye Li Gibor,Partner,2003,Tuvia Tishler,Al Tihiye Li Gibor,Tuvia Tishler,Al Tihiye Li Gibor
Al Tikchu Mimeni Et Hatango,Partner,1997,Yehuda Emanuel,Al Tikchu Mimeni Et Hatango,Yehuda Emanuel,Al Tikchu Mimeni Et Hatango
Al Tikechi Li Et Ha'ahava,Partner,2001,Eli Segal,Al Tikechi Li Et Haahava,Eli Segal,Al Tikechi Li Et Ha'ahava
Al Tila'gu Li,Line;Kids,2015,Levi Bargil,Al Tilagu Li,Levi Bargil,Al Tila'gu Li
Al Tira,Circle,1952,Yonatan Karmon,Al Tira,Yonatan Karmon,Al Tira
Al Tira Israel (Ya'akov Hatamim),Circle,1983,Eli Ronen,Al Tira Israel Yaakov Hatamim,Eli Ronen,Al Tira Israel (Ya'akov Hatamim)
Al Tirlay,Partner,1992,Itzik Sa'ada,Al Tirlay,Itzik Saada,Al Tirlay
Al Tir'uni (Sheharhoret Mehanahal),Partner,1950,Ze'ev Chavatzelet,Al Tiruni Sheharhoret Mehanahal,Zeev Chavatzelet,Al Tir'uni (Sheharhoret Mehanahal)
Al Tisgeri Li Tadelet,Partner,2012,Avi Palvari,Al Tisgeri Li Tadelet,Avi Palvari,Al Tisgeri Li Tadelet
Al Tishal Oti,Circle,2003,Israel Shiker,Al Tishal Oti,Israel Shiker,Al Tishal Oti
Al Tishal Yeled,Circle,2010,Nir Dan,Al Tishal Yeled,Nir Dan,Al Tishal Yeled
Al Tishali,Partner,2017,Yaron Malihi,Al Tishali,Yaron Malihi,Al Tishali
Al Tishavri,Circle,2009,Yaron Malihi,Al Tishavri,Yaron Malihi,Al Tishavri
Al Tishkach,Circle,2015,Avi Levy,Al Tishkach,Avi Levy,Al Tishkach
Al Tishkechi,Circle,2018,Dana Monet,Al Tishkechi,Dana Monet,Al Tishkechi
Al Tishkechi Et Halaila,Partner,2001,Avi Perez,Al Tishkechi Et Halaila,Avi Perez,Al Tishkechi Et Halaila
Al Tishkechi Otanu,Partner,1998,Rafi Ziv,Al Tishkechi Otanu,Rafi Ziv,Al Tishkechi Otanu
Al Tishpeti Oti,Circle,2009,Avi Perez,Al Tishpeti Oti,Avi Perez,Al Tishpeti Oti
