type,choreographer,label
P,Shlomo Maman,Ha'im Amru Lach Pa'am
C,Avi Levy,Ha'im At Kan
C,Boaz Cohen,Haim Ata Ohev Oti
L,Tzlil Shuker,Ha'im Ata Rotseh Oti
P,Eli Ronen,Ha'im Odech Yafa
C,Eli Rachamim,Ha'im Taskimi
C,"Mali Lipson, Moshe",Ha'ir
L,Yaron Medan,"Hair (Sear, Zumbai Adoma )"
C,Moshe Eskayo,"Ha'ir Be'afor (C, Moshe Eskayo)"
C,Rivka Sturman,"Ha'ir Be'afor (C, Rivka Sturman)"
P,Dani Dassa,Ha'ir Be'afor (P)
P,Amnon Amram,Ha'ir Hazot (Ba'ir Hazot)
C,"Kobi Michaeli, Gadi Bitton",Ha'ish Hahu
C,Elad Shtamer,Haish Im Hakova
c,Avi Perez,Ha'ish Min Habika
P,Shlomo Maman,Ha'isha Shel Chayay
C,Eli Segal,Haiyu Zmanim
P,Yankale Levy,Hajiveret (Tsur Manati)
P, ,Hakanadi (Rikud Hakanadi)
,Moshe Telem,Hakarmel Sheli
CK,Levi Bar Gil,Hakatar Mibe'er Sheva
C,Oren Ashkenazi,Hakatar Mibe'er Sheva (Hakatar)
C,Nir Dor,Hakayits Chalaf
P,Michael Barzelai,Hake'ev Haze
C,Gadi Bitton,Hakerem (C)
P,Shaul Malkiel,Hakerem (P)
P,Meir Shem Tov,Haketsev Shel Chayay (At Haketsev Shel Chayay)
C,Raanan Mor,Hakinah
C,Mona Goldstein,Hakinor
C,Roni Siman Tov,Hakinor Hane'eman
C,Ilai Szpiezak,Hakivsa Halevana
C,Marco Ben Shimon,Haklezmerim Bitsfat
C,Shlomo Maman,Hakna'anit
P,Avi Levy,Hakoach Be'ahavatech
C,Rafi Ziv,Hakoach Shebalev
C,Uri Grafit,Hakochav (Saper Li Kochav)
C,Israel Shabtai,Hakochav Migush Dan
P,Dudu Barzilay,Hakochav Sheli
P,Shlomo Maman,Hakol Ad Kan
P,Avi Levy,Hakol Be'ahava
C,Shlomo Bachar,Hakol Beseder
P,Eliyahu Gamliel,Hakol Biglal Ha'ahava
P,"Eran Bitton, Gadi Bitton",Hakol Bishvilech
C,Shalom Amar,Hakol Diburim
P,Avi Perez,Hakol Dvash
C,Israel Shiker,Hakol Efshari
C,Ze'ev Benedict,Hakol Hafuch
P,Nourit Grinfeld,Hakol Hishtana Li
P,Dudu Barzilay,Hakol Itach Dvash
C,Yaron Malihi,Hakol Kvar Shelach
LK,Chen Shporen,Hakol Letova (LK)
p,Randy and Roni,Hakol Letova (p)
P,Shlomo Maman,Hakol Mazkir Otach
C,Nurit Melamed,Hakol Me'ahava
C,Kobi Michaeli,Hakol Mehakol
C,Jack Ochayon,Hakol O Klum
C,Ilai Szpiezak,Hakol Od Efshari
C,Sarah Rodin,Hakol Od Lefanay
C,Avi Perez,Hakol Od Yistader
P,David HaRe'uveni,Hakol Omed Bamakom
P,Shlomo Maman,Hakol Over
C,Avner Naim,Hakol Patu'ach (Avner Naim)
C,Yankale Levy,Hakol Patu'ach (Yankale Levy)
C,Oren Ashkenazi,Hakol Sagur
P,Avi Levy,Hakol Tov
C,Eli Ronen,Hakol Zahav
C,"Beber Shushan, Chayim Guetta",Hakolot Shel Pireus (Pireus)
P,Israel Shiker,Hakorason Sheli (Korason)
P,Moshe Eskayo,"Hakormim (P, Moshe Eskayo)"
P,Yo'av Ashriel,"Hakormim (P, Yo'av Ashriel)"
,Leah Bergstein,Hakormim ()
P,Gadi Bitton,Hakos Hakchula
P,Gurit Kadman,Hakotsrim
P,Yaron Carmel,Hakshivi Lakol
C,Shlomo Bachar,Haktantana Hismika (Tsipor Hayofi) (C)
P,Tzvi Hillman,Haktantana Hismika (Tsipor Hayofi) (P)
C,Nurit Melamed,Hala
C,Shlomo Maman,Halachta Li Chaver (Hu Chazar Bitshuva)
,Fredie Cohen,Halaila
C,"Oren Ashkenazi, Eli Segal",Halaila (Balagan)
L,Shlomo Bachar,Halaila Bachatsot
P,Tuvia Tishler,Halaila Ha'acharon (La Ultima Noche)
P,Amir Katz,Halaila Holech Basderot
C,Nourit Grinfeld,Halaila Hu Shirim
C,Uziel Shaer,Halaila Margush Et Ze
C,Yossi Nakav,Halaila Mesiba
P,Avi Ben Avraham,Halaila Shelach
P,Rachel Edri Cohen,Halaila Tirkedi
P,Motti Elfasy,Halaila Tov Le'ahava (Laila Tov Le'ahava)
C,Yaron Malihi,Halaila Yesh Chagigah
L,Orly Setareh,Halaila Ze Hazman
C,Itzik Ben Dahan,Halaila Ze Ykre
C,Shmulik Gov Ari,Halani
C,Maurice Perez,Halayla Haze
P,Shani Asor-Gadi Bitton,Halayla shelach
C,Gadi Bitton,Halehaka (Shir Halehaka)
C,Shlomo Bachar,Halel Haleluya
C,Meir Shem Tov,Halel Haleluya (Haleluya)
C,Levi Bargil,Haleli
C,Benny Levy,Haleli Nafshi
P,Israel Yakovee,Haleli Or
C,Shlomo Maman,Haleli Yerushalayim
C,Oren Ashkenazi,Halellu
C,Eyal Eliyahu,Halelot Bichna'an
C,Shlomo Bachar,Halelu (Shlomo Bachar)
C,Yaron Ben Simhon,Halelu (Yaron Ben Simhon)
C,Sara Calzetti,Halelu Et Hadonai
L,Gadi Bitton,Halelu Haleluya
C,Amnon Sha'uli,Halelu Hazemer
C,Bentzi Tiram,"Haleluya (C, Bentzi Tiram)"
C,Marco Ben Shimon,"Haleluya (C, Marco Ben Shimon)"
C,Shlomo Bachar,"Haleluya (C, Shlomo Bachar)"
C,Gadi Bitton,"Haleluya (C, Gadi Bitton)"
C,Robin Starr,"Haleluya (C, Robin Starr)"
C,Meir Shem Tov,"Haleluya (C, Meir Shem Tov)"
C,Boaz Cohen,"Haleluya (C, Boaz Cohen)"
LM,Moshiko Halevy,Haleluya (LM)
C,Avner Naim,Haleluya Betsiltslei Shama (Haleluya)
C,Se'adia Amishai,Haleluya Legal
C,Shmulik Gov Ari,Haleluya Leshabat
C,Shmulik Gov Ari,Haleluya Leshalom
C,Avner Naim,Haleluya Leshalom (Haleluya)
C,Israel Shiker,Haleluya shabbat Shalom
C,Batya Kronenberg,Halev (Batya Kronenberg)
C,Gadi Bitton,Halev (Gadi Bitton)
P,Yaron Elfasy,Halev Hapatu'ach
C,Rafi Ziv,Halev Nitpas
P,Shlomo Maman,Halev Patsu'a
L,Tzipi Cohen,Ha'Lev Shel Eima
C,Shlomo Maman,Halev Shel Ha’olam
C,Chayim Tzemach,"Halev Sheli (C, Chayim Tzemach)"
C,Nurit Melamed,"Halev Sheli (C, Nurit Melamed)"
P,Gadi Bitton,Halev Sheli (P)
C,Rafi Ziv,Halev Tsameh
P,Shlomo Maman,Halev Yodei'a
C,Gadi Bitton,Halevai (C)
P,Nir Dor,Halevai (P)
C,Moshiko Halevy,Halevai Alay
C,Avi Levy,Halha (Avi Levy)
C,Chanan Cohen,Halha (Chanan Cohen)
L,Yehuda Emanuel,Halicha (Walk - Holiday Rap)
C,Oren Shmuel,Halil Bamidbar (Shir Amami)
C,Shmulik Gov Ari,Halila Chatuna
C,David Dassa,Halla
C,Ilai Szpiezak,Halleluhu
L,Moshiko Halevy,Hallo
P,Shmulik Gov Ari,Halo Noda (Shmulik Gov Ari)
P,Oren Shmuel,Halo Noda (Oren Shmuel)
L,Shelly Baram,Halochem
C,Chagit Fuchs,Halvai Shekvar Yavo
P,Avner Naim,Hamachar
P,Avi Perez,Hamachar Mechake Lach
C,Rina Rinkewich,Hamachshava Al HaMayim
P,Ron Nistal,Hamagafayim Shel Baruch
CK,Levi Bargil,Hamagzimanim
C,Yaron Ben Simhon,Hamakom Sheli
P,Gadi Bitton,Hamalach
C,Yuval Tabashi,Hamalach Hagoel Oti
P,Gila Paz,Hamalach Haitalki
C,Luskin,Hamalach Hatov
C,Amnon Sha'uli,Hamalach Hatov Yofi'a
C,Israel Shiker,Hamalach Sheli
C,Avi Perez,Hamalachim Holchim Al Behonot
C,Tamir Shalev,Hamalka Shel Hashchuna
C,Israel Shiker,Hamangina Hayeshana (Zo Otah Hamanginah)
P,Nurit Melamed,Hamangina Hazot
P,Moshiko Halevy,Hamangina Sheli
C,Shlomo Maman,Hamasa Miyam El Yam
,Fredie Cohen,Hamashiach
P,Ayala Bumstein,Hamatilda Sheli
C,Moshiko Halevy,Hamavdil (C)
L,Corinne Chochem,Hamavdil (L)
C,Shmulik Gov Ari,Hamavdil Bein Kodesh Lechol
P,Itzik Ben Dahan,HaMazal
P,Guy Haskell,Hamazalot
P,Michael Barzelai,Hame’a Ha’esrim Va’achat
C,Tamar Alyagor,Hame'amrim
L,Menahem Menachem,Hame'antezet
P,Yankale Levy,Hamechazrim
P,Moshiko Halevy,Hamecholelet
C,Sefi Aviv,Hamedina Shelanu
C,Marco Ben Shimon,Hamelech Nimrod
L,Ya'ir Bino,Hamenatsech Lokeach Hakol
C,Shmulik Gov Ari,Hameoreset (Hafla)
C,Rafi Ziv,Hameshiba
C,Shlomo Maman,Hamesiba Shel Hachaim
C,Eyal Ozeri,Hamesiba Sheli
P,Dudu Barzilay,Hametsiut Shelach
C,Ariel Coral,Hamifras Shel Baru'ach
C,Kobi Michaeli,Hamilim Hachaserot (C)
P,Dudu Barzilay,Hamilim Hachaserot (P)
P,Yoni Carr,Hamischak Nigmar
P,Gadi Bitton,Hamistikanim Hasinim (Ma'avir Daf)
C,Moshiko Halevy,Hamitsad
C,Eli Ronen,Hamizrach (Bamizrach Shelanu)
C,Hadar Galnor-Eli Segal,Hamizrach Hatichon
C,Morris Amar,Hamoaviyah
P,Yoram Cohen,Hamshorer
C,Israel Shabtai,Hana'arim Hasapanim
C,Shalom Hermon,Hana'ava Babanot (C)
P,Simcha Levine,"Hana'ava Babanot (P, Simcha Levine)"
P,Shauli Rosenfeld,"Hana'ava Babanot (P, Shauli Rosenfeld)"
P,Dani Dassa,"Hana'ava Babanot (P, Dani Dassa)"
LK,Levi Bargil,Hanachash Began Eden
C,Shmulik Gov Ari,Hanahar
C,Chen Shporen,Hanamal
C,Gadi Bitton,Hananya
C,Israel Shiker,Hanasich Halavan
L,Ron Nistal,Hanasich Hamadlik (Prince of Bel Air)
C,Meir Shem Tov,Hanava
C,Levi Bargil,Hanavi Ha'acharon
C,Eyal Ozeri,Hanavi Yechezkel
P,Yoram Sasson,Hanechalim
C,Yom Tov Ochayon,Hanechalim Roshmim
C,"Avner Naim, Yoram Sasson",Haneshama (Ma Ma Ma!)
C,Israel Shiker,Hanesharim
P,Meir Shem Tov,Haneshika
P,Naftaly Kadosh,Haneshika Harishona
C,Benny Levy,Hanesicha Hashvuya (Benny Levy)
C,Yaron Elfasy,Hanesicha Hashvuya (Yaron Elfasy)
P,Eitan Krol,Hanesicha Sheli
C,Bentzi Tiram,Hanesicha Veharu'ach (Bentzi Tiram)
C,Sefi Aviv,Hanesicha Veharu'ach (Sefi Aviv)
C,Moshany A. Shemesh,Hanesicha Veharu'ach (Moshany A. Shemesh)
P,Edo Israely,Hanetsach Hu Katsar
P,Shmulik Gov Ari,Haneurim Ha'avudim (Shmulik Gov Ari)
P,Rafi Ziv,Haneurim Ha'avudim (Rafi Ziv)
P,Eli Ronen,Hanevel
C,Moshiko Halevy,Hanichi Li
C,Israel Shabtai,Hanigun
C,Ilan Swisa,Hanigun Lebar
C,Rafi Ziv,Hanigun Shebaderech
C,Israel Shiker,Hanigun Shebalev
P,Gila Paz,Hanigun Shelcha
PW,Gila Paz,Hanigun Shelcha-Wh.Chair
P,Shmulik Gov Ari,Hanitsan Hu Perach
L,Raanan Mor,Hanky Panky
C,Sara Levi Tanai,Hanoded
P,Danny Uziel,Hanokdim (Shir Hanokdim)
C,Gila Paz,Hanshama Bekirbi
C,Oren Bachar,Haolam Sameach
C,Israel Shiker,Haomnam (Al Telchi Basadeh)
C,Benny Levy,Haor
p,Tzipi Cohen,Ha'or
C,Michael Barzelai,Haor Min Heharim
P,Boaz Cohen,Haor Shebaeinayim
C,"Moshe tawily, Shlomo Maman",Ha'or Shebiktseh Hamisdaron
P,Elad Shtamer,Ha'or Yizrach
C,Itzchak Atira,Ha'oreach (Itzchak Atira)
C,Shmulik Gov Ari,Ha'oreach (Shmulik Gov Ari)
P,Tuvia Tishler,Ha'orot Hazolgim
C,"Yaron Ben Simhon, Gadi Bitton",Ha'oto Sheli Hayofi Shelach
P,"Mali Lipson, Moshe",Hapa'am
P,Yankale Levy,Haparpar (Parpar)
C,Avi Amsalam,Hapatent Miteyman
P,Eli Ronen,Hapaytan (Tikvot Yamai) (P)
U,Yossi Abuhav,Hapaytan (Tikvot Yamai) (U)
P,Yehuda Emanuel,Haperach Begani (Yehuda Emanuel)
P,Bentzi Tiram,Haperach Begani (Bentzi Tiram)
P,Shlomo Maman,Hapetsa Shegaram Haosher
PW,Shlomo Maman,Hapetsa Shegaram Ha'Osher-Wh.Chair
P,Roni Siman Tov,Hapilpel (Rak Halaila)
C,Shlomo Maman,hapitza shebalev
L,Yaron Elfasy,Happy (Yaron Elfasy)
L,Chen Shporen,Happy (Chen Shporen)
LK,Levi Bar Gil,Happy Birthday
P,"Mali Lipson, Moshe",Hapri Shelach
P,Barry Avidan,Hapruta Vehayareach
PK,Yael Yaakovee,Hapsanter
C,Moshiko Halevy,Har Hatsofim (Meal Pisgat Har Hatsofim)
P,Ze'ev Chavatzelet,Har Vakar
C,Rivka Sturman,Harabbi Elimelech (Der Rebe Elimelech)
C,Shlomo Bachar,Harabbi Hameraked
C,Yo'av Ashriel,Harabbi Holech
C,Chen Shporen,Harabi Joe Kapara
C,Mona Goldstein,Harachaman
C,Victor Gabbay,Haradio Hayashan
C,Rachel Waitzman,Harakdan Ha'automati
P,Sefi Aviv,Haraki'a Hashvi'i (Chaki Li)
C,Margalit Oved,Harashut
P,Yankale Ziv,Harbe Mimech Nishar
P,Oren Ashkenazi,Harbe Panim
P,"Mishel Cohen, Gil",Harbe Zman
P,Yaakov Dekel,Harbi Tovech
P,Sefi Aviv,Hardufim
C,Shmulik Gov Ari,Harechov Hagadol
P,"David Dassa, Orly Setareh","Harei At Mekudeshet Li (David Dassa, Orly Setareh)"
P,Boaz Cohen,Harei At Mekudeshet Li (Boaz Cohen)
C,Bentzi Tiram,Harei Gilad
c,Yaron Elfasy,Hareni Mekabel
P,Israel Shiker,Harikud Ha'achron Sheli
P,Tuvia Tishler,Harikud Hamuzar Shel Halev
P,Oren Ashkenazi,Harikud Harishon
C,Folk,Harikud Hayevani
C,Shlomo Maman,Harikud Hu Shelach
C,David Edery,Harikud Shebalev
C,Tuvia Tishler,Harikud Shel Pnina
, ,Harikud Sheli
P,Ze'ev Chavatzelet,Harimon
P,Avi Levy,Harishona
C,Sara Levi Tanai,Harishut (C)
P,Moshiko Halevy,Harishut (P)
,Moshe Telem,Harmonia Le'olam
C,Rivka Sturman,Harmonica
C,Yonatan Karmon,Haroah Haktanah (Haroe Min Hagai)
C,Tamir Shalev,Haroah Miteiman
P,"Moshe Telem, Mottti Elfasy, Se'adia Amishai",Haroeh Bashoshanim
C,Shmulik Gov Ari,Haroeh Bashoshanim (David Yafeh Einayim)
c,Oren Ashkenazi-Adi Wainberg Lerch,Haru'ach Hazo
P,Gadi Bitton,Haru'ach Teshane Et Kivuna
C,"Mona Goldstein, Moshany A. Shemesh",Harumba
P,"Mona Goldstein, Moshany A. Shemesh",Harumba (Rumba)
P,Israel Shiker,Hasade Sheli Poreach
C,Shmulik Gov Ari,Hasaga Hashem
P,Amnon Sha'uli,Hasapanim (Shir Hasapanim)
C,Folk,Hasapico Iti
C,Shauli Rosenfeld,Hasapico Mahir
C,"Eli Ronen, Ira Weisburd",Hasapico Mozart
C,Ira Weisburd,Hasapico Ton Dromo
C,Levi Bargil-Inat Cohen,Hasar Montifiori
C,"Yaron Carmel, Gadi Bitton",Hasela Ha'adom
C,Yaron Malihi,Haser De'aga Milibcha
C,Nurit Melamed,Hashabat Kvar Nichneset
C,Moshiko Halevy,Hashabat Shelanu
C,Rafi Ziv,Hashabat Sheli
C,Motti Elfasy,Hashachar (Motti Elfasy)
C,Shlomo Bachar,Hashachar (Shlomo Bachar)
C,Dani Dassa,Hashachar (Dani Dassa)
C,Moshe Telem,Hashaked
C,Shmulik Gov Ari,Hashana
C,Eyal Ozeri,Hashana Inshalah
C,Shmulik Gov Ari,Hashanah Hachadasha Sheli
P, ,Hashcharchoret Mehanach.
p,Yael Twito,Hasheket Shel Shabat
C,Shmulik Gov Ari,Hashemesh
C,Chanan Dadon,Hashemesh Tizrach La'ahava
C,Israel Yakovee,Hashevach La'el (Israel Yakovee)
C,Israel Shiker,Hashevach La'el (Israel Shiker)
C,Gadi Bitton,Hashir Al Erets Sinai
c,Israel Shiker,Hashir Al Ha'arets
U, ,Hashir Ha'acharon
C,Yom Tov Ochayon,Hashir Noten Li
P,Berain Rachler,Hashir Shehu Shar Li Bageshem
C,Eli Segal,Hashir Shel Aba
C,"Itzik Ben Dahan, Yaron Elfasy",Hashir Shel Miriam
P,Yankale Ziv,Hashir Shelach
C,Yom Tov Ochayon,Hashir Shelanu (Yom Tov Ochayon)
C,Chana Nitzan,Hashir Shelanu (Chana Nitzan)
C,Nir Dor,Hashir Shelanu (Nir Dor)
C,Moshe Eskayo,Hashir Sheli
P,Michael Barzelai,Hashir Shelo Heazti Lashir
C,Dudu Barzilay,Hashir Shelo Nigmar
P,Gadi Bitton,Hashir Sheyavi Lacha Ahava
,Shmuel (Vicki) Cohen,Hashirim Ha'eleh
C,Elad Shtamer,Hashivenu (Elad Shtamer)
C,Elad Shtamer,Hashivenu (Elad Shtamer)
C,Shlomo Bachar,Hashkediot
P,"Eli Segal, Sefi Aviv",Hashkini Yayin
C,Motti Elfasy,Hashkiya Basedeh (Acharei Hashkiya Basedeh)
C,Moshiko Halevy,Hashofar
C,Yo'av Ashriel,Hashoshana Porachat
C,Edo Israely,Hashoter Azulai
P,Peri Shachaf,Hashrika
C,Amir Katz,Hashulamit
P,Effi Tirosh,Hashvi'i Beseptember
C,Nurit Melamed,Hasimcha Shebetochi
C,Yaron Ben Simhon,Hasimcha Shelanu
P,Gadi Bitton,Hasimcha Sheli (At Hasimcha Sheli)
P,Chayim Shiryon,Hasimla Has'gula (Chayim Shiryon)
P,Marco Ben Shimon,Hasimla Has'gula (Marco Ben Shimon)
P,Ya'ir Harel,Hasimla Hatchelet
P,Moshe Kugman,Hasod
P,Elad Shtamer,Hasod (Sod)
C,Nurit Melamed,Hasof Hatov Haze
C,Chen Shporen-Michael Barzelai,Hata'am Hayashan
P,Ohad Atia,Hata'am Shenishar
C,Michael Barzelai,Hatachana Hayeshana
P,Sefi Aviv,Hatango Sheli (Habalada Al Tonio)
C,Maurice Perez,Hatavass Hazahav
P,Avi Mosaiyev,Hatchala Chadasha (Avi Mosaiyev)
P,Edo Israely,Hatchala Chadasha (Edo Israely)
P,Ariel Coral,Hatchalot
L,Dede Luski,Hatelefon
C, ,Hatikva ( )
C,Amir Katz,Hatikva (Amir Katz)
C,Gadi Bitton,Hatikva Chozeret Lalev
C,Maurice Perez,Hatikva Leshalom
P,Yom Tov Ochayon,Hatinasei Li Ahuva
C,Tuvia Tishler,Hatishma Koli (C)
P,Yankale Levy,Hatishma Koli (P)
P,Marco Ben Shimon,Hatishmach Lashay (Shai)
C,Dudu Barzilay,Hatmunot Sheba'albom
C,Yossi Perez,Hatmunot Sheba'album
P,Yaron Ben Simhon,Hatsad Hamu'ar
P,"Yaron Ben Simhon, Gadi Bitton",Hatsafon Haporeyach
P,Rafi Ziv,Hatsaim
P,Tamir Scherzer,Hatschok Shehaya Lach Baenayim
C,"Sharon Elkaslassy, Gadi Bitton",Hatschok Shel Ela (Shabbat Bachalon)
C,"Yaron Ben Simhon, Dudu Barzilay",Hatschok Shelach
C,Tuvia Tishler,Hatsel Ve'ani
C,Naftaly Kadosh,Hatsoani (Naftaly Kadosh)
C,Ira Weisburd,Hatsoani (Ira Weisburd)
P,Gila Paz,Hatsoani Hazaken
C,Dudu Barzilay,Hatsoanim
P,Sefi Aviv,Hatsrif Hakatan (Sefi Aviv)
P,Uri Grafit,Hatsrif Hakatan (Uri Grafit)
P,Shmulik Gov Ari,Hatsrif Harau'a (Hatsrif Hakatan)
C,Shmulik Gov Ari,Hatssiltsulim
L,Yankale Levy,Hatustus (Pushbike Song)
C,Shlomo Bachar,Ha'ud Sheli
C,Shmulik Gov Ari,Ha'ud Vehatarbuka
, ,Hava Levenim
C,Moshe Eskayo,"Hava Nagila (C, Moshe Eskayo)"
C,Yo'av Ashriel,"Hava Nagila (C, Yo'av Ashriel)"
C,Jeff Subeck,"Hava Nagila (C, Jeff Subeck)"
L,Tzvi Hillman,Hava Nagila (L)
P,Gertrud Kraus,Hava Nagila (P)
P,Moshe Tawily,Hava Nashira (Bo'u Venashira)
P,Rivka Sturman,Hava Netse Bemachol
L,Dede Luski,Havals Ha'acharon
P,Yo'av Ashriel,Havals Harishon
P,Ya'ir Harel,Havals Hasheini (Ya'ir Harel)
P,Yo'av Ashriel,Havals Hasheini (Yo'av Ashriel)
C,Shmulik Gov Ari,Have Alenu
L,Eyal Malach,Have Fun Go Mad
C,Israel Shiker,Havelay Haolam Haze
C,Shmulik Gov Ari,Havered
C,Oren Ashkenazi,Havtachot (Oren Ashkenazi)
C,Asher Ellazam,Havtachot (Asher Ellazam)
C,Raaya Spivak,Havu Kankan
C,Gurit Kadman,Havu Lanu Yayin
C,Avner Naim,Havu Levenim
C,Tzvi Fridhaber,Havu Zemer (Tzvi Fridhaber)
C,Avner Naim,Havu Zemer (Avner Naim)
P,David Ben Naim,Haya Chalom (Mashehu Etslenu Hishtabesh)
P,Hertzel Swissa,Haya Hu Afor
P,Hela Emanuel,Haya Kedai
P,Hela Emanuel,Haya Kedai 2
C,"Mali Lipson, Moshe",Hayad Hachama
C,Moshe Eskayo,Hayadata Et Haderech
C,Shlomo Bachar,"Hayafa Banashim (C, Shlomo Bachar)"
C,Yaron Malihi,"Hayafa Banashim (C, Yaron Malihi)"
PM,Shlomo Bachar,Hayafa Banashim (PM)
P,Marco Ben Shimon,Hayam Ha'acharon (Al Gvul Hayam Ha'acharon)
C,Roni Siman Tov,Hayam Shaket (Sherak Hiyeh Hayam Shaket)
C,Naftaly Kadosh,Hayamim Haba'im (Hanesharim)
C,Rivka Sturman,Hayamim Hem Yafim (Yamim Yafim)
C,Nurit Melamed,Hayamim Ovrim
C,Moshe Telem,Hayamim Zormim
C,Gadi Bitton,Hayde
P,Shlomi Mordechai,Hayechida Sheli
C,Yuval Ma'ayan,Hayechidah
C,Avner Naim,Hayeladim Shel Sivan
C,Elad Shtamer,Hayeled Shebikashti
C,Eli Segal,Hayeled Sheli
C,Avner Naim,Hayinu Kecholmim
P,Sagi Azran,Hayinu Shnayim
P,Yoram Rachmany,Hayit Iti
C,Moshiko Halevy,Hayiti Rotseh
P,Itzik Ben Dahan,Hayiti Shar
P,Israel Shiker,Hayo Haya Li Tango
P,Sefi Aviv,Hayo Hayta Alma
P,Meir Shem Tov,Hayom
P,Elad Shtamer,Hayom At Shona
PT,Chaim Livneh,Hayom Efshar Lashir
P,Yaron Malihi,Hayom Haba
C,Naftaly Kadosh,Hayom Hayom (C)
,Uri Grafit,Hayom Hayom ()
C,Gadi Bitton,Hayom Haze (Hayom Hayom)
C,Ayalah Goren,"Hayoshevet Baganim (C, Ayalah Goren)"
C,Tzvi Hillman,"Hayoshevet Baganim (C, Tzvi Hillman)"
L,Yonatan Karmon,Hayoshevet Baganim (L)
P,Moshe Eskayo,"Hayoshevet Baganim (P, Moshe Eskayo)"
P,Yankale Levy,"Hayoshevet Baganim (P, Yankale Levy)"
P,Roni Siman Tov,Hayoshevet Bashurah Harishonah (Roni Siman Tov)
P,Barry Avidan,Hayoshevet Bashurah Harishonah (Barry Avidan)
P,Tuvia Tishler,Hayta Bechaf Yadi (Hi Hayta Bechaf Yadi)
P,Moshiko Halevy,Hayu Leilot (Moshiko Halevy)
P,Avner Naim,Hayu Leilot (Avner Naim)
P,Chayim Shiryon,Hayu Yamim Chaver (Shuli Haor)
P,Rivka Sturman,Hazevuv Vehazira
C,"Ohad Atia, Elad Shtamer",Hazman Oseh Et Shelo
P,Elad Shtamer,Hazman Shelanu Yachad (Limchok et Hazman)
C,Eli Segal,Hazman Shelcha Le'ehov
C,Gadi Bitton,Hazmanah Lachatuna
P,Shmulik Gov Ari,Hazmanah Lechatuna
C,Israel Shiker,Hazmanah Lemachol
C,Shmulik Gov Ari,Hazorim Bedimah (Shmulik Gov Ari)
C,Benny Levy,Hazorim Bedimah (Benny Levy)
L,Bar Mizrachi,Hazug Haze
P,Yossi Azani,He Omeret
C,Moshiko Halevy,Hechalil
PK,Dudu Sapir,Hechatul Vehachbar
P,Shmulik Gov Ari,Hed Kolech
C,Moti Ben Ya'akov,Hee Lo Yoda'at
C,Marco Ben Shimon,Heh O
P,Tuvia Tishler,Hei Shketa
P,Israel Shiker,Heichan Ahuvi (Ahuv Libi)
C,Rafi Ziv,Heichan Ha'ahava
L,"Dudu Barzilay, Eyal Eliyahu",Helle Dekale
L,Dede Luski,Hello Africa
C,Nona Malki,Helwa Ya Baladi
C,Moshe Telem,Hen Baot (Vehen Baot)
C,Israel Shiker,Hen Efshar
P,Amnon Sha'uli,Hen Ted'i
C,Leah Bergstein,Hen Yerunan
C,Gadi Bitton,Hertsel (Herzl)
C,Eli Ronen-Ira Weisburd,Hevenu Shalom
C,Meir Shem Tov,Hevi'ani El Beit Hayayin
C,Israel Shiker,Hevley Haolam Haze
p,Shlomo Maman,Hey (Shlomo Maman)
P,Rafi Ziv,Hey (Rafi Ziv)
L,Eyal Eliyahu,Hey Baby
C,Itzik Sa'ada,Hey Daroma
L,Orly Shemesh,Hey Hey
C,Moshiko Halevy,Hey Yo Ya
C,Rafi Ziv,Heya Heya (C)
P,Victor Gabbay,Heya Heya (P)
P,Marco Ben Shimon,Heychan Yediday (Imru Li Heychan Yediday)
C,Gadi Bitton,Heye Chazak
C,Yuval Tabashi,Heye Iti
C,Gadi Bitton,Heye Li Chaver
C,Israel Shiker,Heye Sameach
P,Yankale Levy,Heyi Shalom Yaldonet
P,Shlomo Maman,Hi At
C,Jeremy Abrams,Hi DJ
P,Yankale Ziv,Hi Kol Kach yafa
C,Rafi Ziv,Hi Kol Kach Yafa (Hi Kol Kach yafah)
P,"Sagi Azran, Sharon Elkaslassy",Hi Lo At
P,Sefi Aviv,Hi Lo Doma Le'af Achat
P,Didi Dosh,Hi Lo Doma Le'af Achat (Hi Lo Doma)
P,Naftaly Kadosh,Hi Lo Nirdemet
C,Elad Perl,Hi Lo Tashuv
P,Shlomo Maman,Hi Lo Tavo
P,Tamir Shalev,Hi Lo Tavo (Yanu'ar)
C,Raanan Mor,Hi Lo Yada'at Ma Over Alai (C)
P,Gadi Bitton,Hi Lo Yada'at Ma Over Alai (P)
C,Moshe Tawily,Hi Meshag'at
C,Yaron Ben Simhon,Hi Rak Rotsa Lirkod (C)
LK,Levi Bargil,Hi Rak Rotsa Lirkod (LK)
C,Maurice Perez,Hi Rokedet
C,"Mali Lipson, Moshe",Hi Sheamda
P,Yaron Malihi,Hi Tikach Otcha (He Tikach Otcha)
P,Shmulik Gov Ari,Hi Yoshva Lachalon
P,Victor Gabbay,Hidlakta Kochav
C,Gadi Bitton,Hie Yoshva Lachalon
C,Ilan Swisa,Hila At Li (Chida at Li)
P,Victor Gabbay,Hiluch Chozer
C,Gadi Bitton,Hilula
C,Maurice Perez,Hilula Latsadik
C,Roni Siman Tov,Hilulat Bar Yochai
C,"Gadi Bitton, Shlomi Ochayon",Hilulim
C,Orly Setareh,Hinach Yafah
P,Yankale Levy,Hinach Yafah Rayatti
C,Cheli Livne,Hine Hine
LK,Levi Bar Gil,Hine Ze Ba
